Layer,GDV
0,-0.3138970836936127
1,-0.329109596848464
2,-0.3256518677924464
3,-0.32255969100014653
4,-0.32416286518679877
5,-0.33546401406541126
6,-0.3437770556275124
7,-0.3432163960930068
8,-0.34810486280732167
9,-0.3481333165235923
10,-0.3490822081900313
11,-0.34831512982549856
12,-0.3521068940909963
13,-0.34897665060491156
14,-0.34873698373469914
15,-0.3472640274721392
16,-0.3510528116894454
17,-0.3515321570792971
18,-0.3537297465234989
19,-0.3523439685247089
20,-0.35262982392091435
21,-0.3514302935543103
22,-0.3518345974819774
23,-0.35207112826315534
24,-0.353760351679734
