Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 9088])",0.6970534069981584,0.6970742132933212,0.6823204419889503,0.6817200054300351,0.6408839779005525,0.6407742772584155,0.6740331491712708,0.6739402221843755,0.6675874769797422,0.6678144678795055
1,"torch.Size([5428, 9088])",0.6095764272559853,0.6091789888961909,0.5994475138121547,0.5994213599960927,0.6114180478821363,0.6107160647842623,0.583793738489871,0.5834548830434867,0.6086556169429097,0.6083776591016892
3,"torch.Size([5428, 9088])",0.5911602209944752,0.5908397832045459,0.5893186003683242,0.5893325300823106,0.6049723756906077,0.6047498192428686,0.6261510128913443,0.6262220325947827,0.6040515653775322,0.6044552867951826
4,"torch.Size([5428, 9088])",0.6123388581952118,0.612456230942235,0.6243093922651933,0.624226563562297,0.6003683241252302,0.6003249426315044,0.6335174953959485,0.6335522998789233,0.6012891344383057,0.6009259706409159
5,"torch.Size([5428, 9344])",0.6095764272559853,0.6093909837084782,0.5883977900552486,0.5881723354233619,0.6104972375690608,0.6104407598914465,0.6086556169429097,0.6086665669339144,0.6187845303867403,0.618432511756462
6,"torch.Size([5428, 9088])",0.5985267034990792,0.5986901337807425,0.5911602209944752,0.5911186086620495,0.6040515653775322,0.6040837963775592,0.647329650092081,0.6473819818580786,0.6197053406998159,0.6196539489618239
9,"torch.Size([5428, 9088])",0.6224677716390423,0.6222972662657436,0.6169429097605893,0.6169364139205253,0.6187845303867403,0.6179013107435211,0.6049723756906077,0.6051986004397598,0.6086556169429097,0.608315323541873
10,"torch.Size([5428, 36352])",0.5893186003683242,0.5893116355113309,0.5966850828729282,0.5967753732757611,0.6169429097605893,0.6169299180804613,0.6077348066298343,0.6077348066298343,0.5902394106813996,0.5901591455217612
11,"torch.Size([5428, 36352])",0.6233885819521179,0.6234316912465535,0.6215469613259669,0.6215363719687191,0.6178637200736649,0.6174249291755879,0.5966850828729282,0.5966850828729282,0.5976058931860037,0.5975994086558332
12,"torch.Size([5428, 9088])",0.5883977900552486,0.5884030250772638,0.5966850828729282,0.5967069690798302,0.6206261510128913,0.6204910280341137,0.6335174953959485,0.6334702054039115,0.5920810313075506,0.5920799936934298
13,"torch.Size([5428, 9088])",0.6197053406998159,0.6198436853682264,0.6344383057090239,0.6340308299587856,0.6325966850828729,0.6325434118124992,0.6095764272559853,0.6095048446299665,0.6141804788213628,0.6141494005139329
14,"torch.Size([5428, 9088])",0.6519337016574586,0.6520246144965779,0.6178637200736649,0.6178705243388284,0.6252302025782689,0.625067178359907,0.6325966850828729,0.6324873265254994,0.6298342541436464,0.6298342541436464
15,"torch.Size([5428, 9088])",0.6390423572744015,0.6391158162145268,0.6325966850828729,0.6323689094669157,0.6243093922651933,0.6243272310228738,0.6086556169429097,0.6088889561578518,0.6224677716390423,0.6225574163337007
16,"torch.Size([5428, 9344])",0.6344383057090239,0.6345440871375738,0.6151012891344383,0.615088233931644,0.5994475138121547,0.5993690310674279,0.5976058931860037,0.5976246603742124,0.6058931860036832,0.6058196645984727
17,"torch.Size([5428, 9088])",0.6077348066298343,0.607543188372985,0.6243093922651933,0.6245260763025096,0.6215469613259669,0.6215633266962586,0.64548802946593,0.6455827500199106,0.6445672191528545,0.6444659469783197
20,"torch.Size([5428, 9088])",0.6289134438305709,0.6289024311556229,0.639963167587477,0.6401234954515741,0.6077348066298343,0.6076709457924927,0.6445672191528545,0.6445913287130921,0.6215469613259669,0.6216345760766111
21,"torch.Size([5428, 36352])",0.6068139963167587,0.6069190179531835,0.5902394106813996,0.590090224354901,0.6132596685082873,0.6133278782990419,0.6086556169429097,0.6086307300932846,0.6031307550644567,0.6030245745893519
22,"torch.Size([5428, 36352])",0.6243093922651933,0.6243361544862328,0.6353591160220995,0.6352663553706657,0.6252302025782689,0.6252476814011543,0.5976058931860037,0.5975987282614084,0.6031307550644567,0.6030913840169063
23,"torch.Size([5428, 9088])",0.6160220994475138,0.6159742400498935,0.6344383057090239,0.6344634139262836,0.6233885819521179,0.6235831240284407,0.6058931860036832,0.6059132362078955,0.6132596685082873,0.6132203054911277
24,"torch.Size([5428, 9088])",0.6270718232044199,0.627143091173292,0.6141804788213628,0.6141166054845232,0.6160220994475138,0.6159312587185701,0.6335174953959485,0.6335622470526452,0.6095764272559853,0.6095856963200766
25,"torch.Size([5428, 9088])",0.6583793738489871,0.6581975908903892,0.6197053406998159,0.619690830202552,0.6316758747697975,0.6316383983881159,0.6602209944751382,0.6602166730055249,0.6546961325966851,0.6547304321212409
26,"torch.Size([5428, 9088])",0.6289134438305709,0.6288483086316401,0.6464088397790055,0.646387253383157,0.6335174953959485,0.6335547965407805,0.6445672191528545,0.644544287071289,0.6583793738489871,0.658599426904132
27,"torch.Size([5428, 9344])",0.6252302025782689,0.6251841257961316,0.6372007366482505,0.6371318160493472,0.6252302025782689,0.6254924970212717,0.6316758747697975,0.6313734452812327,0.6086556169429097,0.6083378408742616
28,"torch.Size([5428, 9088])",0.6500920810313076,0.6500920810313076,0.6307550644567219,0.6307998412688053,0.6353591160220995,0.6353752023920319,0.6528545119705341,0.6528324358709842,0.6289134438305709,0.6286222464186421
31,"torch.Size([5428, 9088])",0.6537753222836096,0.6534156510744121,0.638121546961326,0.6380617058125544,0.6233885819521179,0.6233933718737219,0.6151012891344383,0.6150934566503611,0.6289134438305709,0.6289911713413673
